Permit Type,Preferred Entry Date 1,Preferred Zone 1,Preferred Entry Date 2,Preferred Zone 2,Preferred Entry Date 3,Preferred Zone 3,Results Status,Awarded Preference,Awarded Entry Date,Awarded Entrance Code/Name,Awarded Group Size
Overnight Permit,6/20/2020,Colchuck Zone,7/25/2020,Colchuck Zone,8/1/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,7/27/2020,Core Enchantment Zone,8/3/2020,Core Enchantment Zone,7/28/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,9/4/2020,Core Enchantment Zone,9/5/2020,Core Enchantment Zone,10/9/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,5/15/2020,Colchuck Zone,6/12/2020,Stuart  Zone,9/25/2020,Eightmile/Caroline Zone,Unsuccessful,,,,
Overnight Permit,7/17/2020,Snow Zone,7/24/2020,Snow Zone,7/31/2020,Snow Zone,Unsuccessful,,,,
Overnight Permit,8/27/2020,Core Enchantment Zone,9/3/2020,Core Enchantment Zone,9/10/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/14/2020,Snow Zone,7/31/2020,Core Enchantment Zone,7/24/2020,Snow Zone,Unsuccessful,,,,
Overnight Permit,8/9/2020,Colchuck Zone,8/13/2020,Colchuck Zone,8/14/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,8/20/2020,Core Enchantment Zone,8/12/2020,Core Enchantment Zone,8/19/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/7/2020,Snow Zone,8/8/2020,Colchuck Zone,8/8/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/11/2020,Core Enchantment Zone,8/10/2020,Core Enchantment Zone,8/12/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/5/2020,Core Enchantment Zone,7/25/2020,Core Enchantment Zone,8/29/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/11/2020,Core Enchantment Zone,9/12/2020,Core Enchantment Zone,10/10/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/29/2020,Core Enchantment Zone,8/2/2020,Core Enchantment Zone,9/25/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/10/2020,Core Enchantment Zone,9/17/2020,Core Enchantment Zone,9/24/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/25/2020,Core Enchantment Zone,8/13/2020,Colchuck Zone,7/23/2020,Snow Zone,Unsuccessful,,,,
